source_link,keyword
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1937/1/31/7,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1937/10/2/1,kaya hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1937/10/2/6,çamur hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1937/10/24/7,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1937/10/28/4,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1937/11/17/5,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1937/11/8/5,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1937/11/8/7,çamur hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1937/3/18/1,kaya hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1937/4/10/2,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1937/4/18/6,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1937/7/22/2,moloz hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1937/7/26/7,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1938/1/24/5,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1938/11/16/5,çamur hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1938/9/9/5,zemin hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1939/11/11/6,yer çökmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1939/11/16/2,moloz akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1939/12/14/4,yer çökmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1939/4/2/1,yer hareketleri
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1939/4/2/4,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1939/6/14/9,kaya hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1939/7/22/2,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1941/12/11/4,moloz akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1941/12/17/2,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1943/9/12/2,çamur hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1944/2/5/4,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1946/6/2/2,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1946/6/26/6,kaya yuvarlanması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1947/6/25/3,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1948/9/13/2,çamur hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1949/12/25/2,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1949/6/25/3,moloz akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1949/7/11/4,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1950/2/10/4,kaya yuvarlanması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1950/2/21/1,zemin hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1951/12/14/1,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1951/7/1/5,çamur hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1951/7/21/6,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1951/9/18/2,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1951/9/2/3,moloz akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1952/4/7/5,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1954/12/15/2,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1954/9/10/5,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1954/9/21/7,zemin çökmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1955/1/8/7,kaya yuvarlanması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1956/10/28/4,moloz akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1956/3/13/5,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1957/10/26/3,kaya düşmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1957/9/26/2,kaya kayması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1960/3/14/4,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1960/3/26/5,çamur hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1960/8/7/1,kaya hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1961/10/2/6,kaya hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1961/10/29/7,"kaya yuvarlanması,kaya devrilmesi"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1962/10/17/4,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1962/10/23/6,kaya çökmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1962/12/4/2,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1962/6/8/5,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1963/1/12/1,kaya yuvarlanması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1963/1/23/3,"çamur akması,çamur hareketi"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1963/5/16/6,kaya hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1963/5/18/4,yamaç kayması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1963/5/25/3,"moloz akması,moloz hareketi"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1963/5/30/5,"moloz akması,moloz hareketi"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1963/7/15/5,moloz akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1964/11/30/8,kaya hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1964/2/26/1,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1964/7/30/4,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1964/7/4/7,moloz akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1965/12/13/8,kaya kayması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1965/2/28/1,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1965/4/6/6,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1965/6/17/4,"moloz akıntısı,moloz akması,çamur akması,çamur akıntısı"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1965/8/16/8,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1965/8/23/4,moloz akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1965/8/30/8,"çamur hareketi,kaya hareketi"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1967/4/21/5,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1967/4/27/5,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1967/4/3/7,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1967/5/25/1,çamur hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1967/5/7/8,yamaç kayması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1967/7/11/6,moloz akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1967/7/24/8,zemin hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1967/7/29/3,yer hareketleri
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1967/7/29/5,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1968/11/29/8,çamur hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1968/12/25/7,"kaya yuvarlanması,kaya devrilmesi"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1968/12/6/4,"çamur akması,çamur akıntısı"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1968/5/15/4,toprak hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1968/5/20/1,çamur hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1968/8/31/5,kaya kayması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1970/10/23/7,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1970/10/8/3,toprak hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1970/11/10/4,kaya kayması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1970/6/3/7,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1971/10/23/1,toprak hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1971/7/7/1,toprak hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1972/4/23/10,kaya kayması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1972/9/1/6,yer hareketleri
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1972/9/21/2,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1973/4/19/2,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1973/9/17/3,kaya yuvarlanması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1974/10/15/8,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1976/11/11/4,toprak hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1976/11/16/4,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1976/4/14/4,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1976/4/2/10,kaya çökmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1976/6/19/6,çamur hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1976/7/19/2,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1977/2/14/8,kaya kayması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1977/7/8/5,kaya yuvarlanması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1977/7/9/4,kaya yuvarlanması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1977/8/27/2,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1978/4/15/7,toprak sürüklenmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1978/6/6/7,kaya çökmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1979/7/18/1,kaya devrilmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1979/7/4/5,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1981/2/28/5,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1981/8/21/8,kaya kayması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1981/9/3/8,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1982/4/5/12,yer çökmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1982/5/25/7,"kaya kayması,yamaç kayması"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1982/7/12/1,"kaya yuvarlanması,kaya devrilmesi"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1983/3/11/2,kaya kayması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1983/6/26/12,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1983/9/12/11,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1984/6/30/7,kaya hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1984/8/7/6,"çamur akması,çamur akıntısı"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1984/9/18/7,"kaya düşmesi,kaya kayması"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1985/1/4/10,yamaç kayması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1985/12/10/8,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1985/12/22/12,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1985/2/27/11,kaya kayması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1985/3/13/7,"çamur akması,çamur akıntısı"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1985/3/31/7,yer hareketleri
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1985/3/5/8,kaya kayması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1985/5/3/4,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1985/6/27/12,"kaya yuvarlanması,kaya devrilmesi"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1985/6/30/16,yer çökmesi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1985/9/10/10,kaya yuvarlanması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1986/4/19/12,çamur akıntısı
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1986/4/29/14,yamaç kayması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1986/6/17/14,çamur akması
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1986/6/18/14,"çamur akması,çamur akıntısı"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1986/6/28/13,kaya hareketi
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1986/7/31/10,"kaya yuvarlanması,kaya devrilmesi"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1986/7/8/13,"kaya yuvarlanması,kaya devrilmesi"
https://beta-egazete.cumhuriyet.com.tr/en/catalog/192/1987/1/3/6,"kaya yuvarlanması,kaya devrilmesi"
